index_code,date,open,close,low,high,volume,money,change
sh000001,2014-12-31,3172.6,3234.68,3157.26,3239.36,405998521.0,432319844000.0,0.021751078709465466
sh000001,2014-12-30,3160.8,3165.82,3130.35,3190.3,397725320.0,437263253600.0,-0.0006944400603531298
sh000001,2014-12-29,3212.56,3168.02,3126.94,3223.86,510111438.99999994,555904355400.0,0.0032999746643020966
sh000001,2014-12-26,3078.01,3157.6,3064.18,3164.16,460700932.0,488915101900.0,0.0276839357664993
sh000001,2014-12-25,2992.46,3072.54,2969.87,3073.35,376947776.0,379017700900.00006,0.03364474033903764
sh000001,2014-12-24,3039.21,2972.53,2934.91,3050.51,376805246.0,378726756700.0,-0.01981131764387767
sh000001,2014-12-23,3085.08,3032.61,3025.67,3136.84,437762400.0,419467701000.0,-0.03032502518025859
sh000001,2014-12-22,3129.27,3127.45,3090.51,3189.87,679371915.0,624481484200.0,0.0060638229428038315
sh000001,2014-12-19,3053.08,3108.6,3018.42,3117.53,521073511.00000006,515580288300.0,0.01670635024464273
sh000001,2014-12-18,3062.8,3057.52,3030.32,3089.79,435904951.99999994,466524526300.0,-0.001143409713102117
sh000001,2014-12-17,3031.95,3061.02,2993.33,3076.6,542503179.0,580338604900.0,0.013072890465725795
sh000001,2014-12-16,2953.81,3021.52,2943.91,3021.9,453842723.00000006,492716183800.0,0.023058014098908952
sh000001,2014-12-15,2921.45,2953.42,2890.9,2960.23,400371695.0,411487142100.0,0.005190305530313077
sh000001,2014-12-12,2929.36,2938.17,2914.96,2962.51,409480811.0,420410250000.0,0.004248497815937169
sh000001,2014-12-11,2912.35,2925.74,2892.61,2965.68,482632733.0,479801444600.0,-0.004853724987330166
sh000001,2014-12-10,2855.94,2940.01,2807.68,2946.71,512886913.0,534989955000.0,0.029317956635752207
sh000001,2014-12-09,2992.49,2856.27,2834.59,3091.32,771998379.0,793361276900.0,-0.054296649957288556
sh000001,2014-12-08,2907.82,3020.26,2879.85,3041.66,587570890.0,593478048900.0,0.028121117219546354
sh000001,2014-12-05,2926.57,2937.65,2813.05,2978.03,640500296.0,639191009200.0,0.01317141812613376
sh000001,2014-12-04,2783.47,2899.46,2772.43,2900.51,532687718.0,509218572500.0,0.04314758250495587
sh000001,2014-12-03,2768.68,2779.53,2733.87,2824.18,562120281.0,529777452700.00006,0.005782417542653517
